+----------------------------------+  
|                                  |  
|     CCSIO Benchmark, 1.5.4.0     |  
|                                  |  
+----------------------------------+  
                                
Recorded                        2025/06/23 23:43:13
Platform                        2.6.1.7601.-.-.-.1.1.1 / 64 bit
MD5(MachineGuid)                daf7fe8fc0c96a65f2fc11327a14fd8b
                                
Volume.file_system              FAT32
Volume.type                     Simple
                                
Device.type                     HDD
Device.vendor                   PSS_LAB
Device.model                    PHANTOM
Device.bus                      6 / 6
Device.controller               Demo StorPort Virtual Adapter
                                
Test.path                       F:\
Test.remote                     No
Test.file.size                  3221225472
Test.io.buffer_sizes            1024 2048 4096 8192 16384 32768 65536 131072 262144 524288 1048576 2097152 4194304 8388608 16777216 33554432 67108864 
Test.io.buffer_counts           1 2 4 8 12 16 24 32 
Test.io.memory_cap              268435456
Test.duration                   1000
Test.order                      3
Test.cache_trim                 2
                                
Test.read.modes                 0x13
Test.read.fill                  random
Test.write.modes                0x03
Test.write.fill                 random
Test.write.flush                No
                                
Read.tests                      375 / 375
Read.tests.failed               -
Read.best.speed.binary          14292.3 MBps
Read.best.speed.decimal         14986.5 MBps
Read.best.io                    4 x 524288 bytes, raw seq
Read.99_perc                    1
Read.95_perc                    2
                                
Write.tests                     250 / 250
Write.tests.failed              -
Write.best.speed.binary         10290.8 MBps
Write.best.speed.decimal        10790.7 MBps
Write.best.io                   4 x 262144 bytes, raw    
Write.99_perc                   1
Write.95_perc                   1
                                
--- Read measurements ---       
                                
  62  |  12 x      4096  |  raw seq  |      495.2 MBps      519.3 MBps  |         
  63  |  12 x      4096  |  buf seq  |     1139.4 MBps     1194.7 MBps  |         
  64  |  16 x      4096  |  raw      |      553.9 MBps      580.8 MBps  |         
  65  |  16 x      4096  |  raw seq  |      699.5 MBps      733.4 MBps  |         
  66  |  16 x      4096  |  buf seq  |     1149.3 MBps     1205.1 MBps  |  +      
  67  |  24 x      4096  |  raw      |      296.4 MBps      310.8 MBps  |         
  68  |  24 x      4096  |  raw seq  |      554.4 MBps      581.3 MBps  |         
  69  |  24 x      4096  |  buf seq  |     1147.7 MBps     1203.4 MBps  |         
  70  |  32 x      4096  |  raw      |      509.5 MBps      534.2 MBps  |         
  71  |  32 x      4096  |  raw seq  |      529.5 MBps      555.2 MBps  |         
  72  |  32 x      4096  |  buf seq  |     1136.3 MBps     1191.5 MBps  |         
  73  |   1 x      8192  |  raw      |      618.4 MBps      648.5 MBps  |         
  74  |   1 x      8192  |  raw seq  |      640.4 MBps      671.5 MBps  |         
  75  |   1 x      8192  |  buf seq  |     1751.9 MBps     1837.0 MBps  |  +      
  76  |   2 x      8192  |  raw      |      488.9 MBps      512.6 MBps  |         
  77  |   2 x      8192  |  raw seq  |      506.7 MBps      531.3 MBps  |         
  78  |   2 x      8192  |  buf seq  |     1778.2 MBps     1864.6 MBps  |  +      
  79  |   4 x      8192  |  raw      |      828.7 MBps      868.9 MBps  |         
  80  |   4 x      8192  |  raw seq  |     1331.4 MBps     1396.0 MBps  |         
  81  |   4 x      8192  |  buf seq  |     1774.2 MBps     1860.4 MBps  |         
  82  |   8 x      8192  |  raw      |      650.0 MBps      681.6 MBps  |         
  83  |   8 x      8192  |  raw seq  |     1155.4 MBps     1211.6 MBps  |         
  84  |   8 x      8192  |  buf seq  |     1806.2 MBps     1893.9 MBps  |  +      
  85  |  12 x      8192  |  raw      |     1372.4 MBps     1439.0 MBps  |         
  86  |  12 x      8192  |  raw seq  |     1463.0 MBps     1534.0 MBps  |         
  87  |  12 x      8192  |  buf seq  |     1739.1 MBps     1823.6 MBps  |         
  88  |  16 x      8192  |  raw      |      698.5 MBps      732.5 MBps  |         
  89  |  16 x      8192  |  raw seq  |     1475.0 MBps     1546.6 MBps  |         
  90  |  16 x      8192  |  buf seq  |     1816.0 MBps     1904.2 MBps  |  +      
  91  |  24 x      8192  |  raw      |      686.8 MBps      720.2 MBps  |         
  92  |  24 x      8192  |  raw seq  |      752.7 MBps      789.3 MBps  |         
  93  |  24 x      8192  |  buf seq  |     1813.3 MBps     1901.4 MBps  |         
  94  |  32 x      8192  |  raw      |      786.1 MBps      824.2 MBps  |         
  95  |  32 x      8192  |  raw seq  |      931.0 MBps      976.3 MBps  |         
  96  |  32 x      8192  |  buf seq  |     1805.1 MBps     1892.8 MBps  |         
  97  |   1 x     16384  |  raw      |     1131.2 MBps     1186.2 MBps  |         
  98  |   1 x     16384  |  raw seq  |     1142.5 MBps     1198.0 MBps  |         
  99  |   1 x     16384  |  buf seq  |     1774.4 MBps     1860.6 MBps  |         
 100  |   2 x     16384  |  raw      |      664.5 MBps      696.8 MBps  |         
 101  |   2 x     16384  |  raw seq  |      741.1 MBps      777.1 MBps  |         
 102  |   2 x     16384  |  buf seq  |     1749.6 MBps     1834.6 MBps  |         
 103  |   4 x     16384  |  raw      |     1270.8 MBps     1332.5 MBps  |         
 104  |   4 x     16384  |  raw seq  |     1956.7 MBps     2051.8 MBps  |  +      
 105  |   4 x     16384  |  buf seq  |     1765.1 MBps     1850.8 MBps  |         
 106  |   8 x     16384  |  raw      |     1259.3 MBps     1320.5 MBps  |         
 107  |   8 x     16384  |  raw seq  |     1789.2 MBps     1876.2 MBps  |         
 108  |   8 x     16384  |  buf seq  |     1753.4 MBps     1838.5 MBps  |         
 109  |  12 x     16384  |  raw      |     2076.8 MBps     2177.7 MBps  |  +      
 110  |  12 x     16384  |  raw seq  |     2668.1 MBps     2797.7 MBps  |  +      
 111  |  12 x     16384  |  buf seq  |     1744.7 MBps     1829.5 MBps  |         
 112  |  16 x     16384  |  raw      |     1186.6 MBps     1244.2 MBps  |         
 113  |  16 x     16384  |  raw seq  |     2548.3 MBps     2672.1 MBps  |         
 114  |  16 x     16384  |  buf seq  |     1750.4 MBps     1835.4 MBps  |         
 115  |  24 x     16384  |  raw      |     2823.9 MBps     2961.1 MBps  |  +      
 116  |  24 x     16384  |  raw seq  |     2768.0 MBps     2902.4 MBps  |         
 117  |  24 x     16384  |  buf seq  |     1750.4 MBps     1835.4 MBps  |         
 118  |  32 x     16384  |  raw      |     1759.6 MBps     1845.1 MBps  |         
 119  |  32 x     16384  |  raw seq  |     2770.5 MBps     2905.1 MBps  |         
 120  |  32 x     16384  |  buf seq  |     1729.3 MBps     1813.3 MBps  |         
 121  |   1 x     32768  |  raw      |     1994.2 MBps     2091.0 MBps  |         
 122  |   1 x     32768  |  raw seq  |     2003.0 MBps     2100.3 MBps  |         
 123  |   1 x     32768  |  buf seq  |     1840.1 MBps     1929.5 MBps  |         
 124  |   2 x     32768  |  raw      |     2561.4 MBps     2685.8 MBps  |         
 125  |   2 x     32768  |  raw seq  |     2690.9 MBps     2821.7 MBps  |         
 126  |   2 x     32768  |  buf seq  |     1839.9 MBps     1929.3 MBps  |         
 127  |   4 x     32768  |  raw      |     1675.1 MBps     1756.5 MBps  |         
 128  |   4 x     32768  |  raw seq  |     1998.1 MBps     2095.1 MBps  |         
 129  |   4 x     32768  |  buf seq  |     1839.4 MBps     1928.8 MBps  |         
 130  |   8 x     32768  |  raw      |     3023.6 MBps     3170.4 MBps  |  +      
 131  |   8 x     32768  |  raw seq  |     3389.8 MBps     3554.5 MBps  |  +      
 132  |   8 x     32768  |  buf seq  |     1840.0 MBps     1929.4 MBps  |         
 133  |  12 x     32768  |  raw      |     2249.3 MBps     2358.6 MBps  |         
 134  |  12 x     32768  |  raw seq  |     3514.6 MBps     3685.3 MBps  |  +      
 135  |  12 x     32768  |  buf seq  |     1847.7 MBps     1937.4 MBps  |         
 136  |  16 x     32768  |  raw      |     2112.7 MBps     2215.3 MBps  |         
 137  |  16 x     32768  |  raw seq  |     3065.9 MBps     3214.9 MBps  |         
 138  |  16 x     32768  |  buf seq  |     1830.3 MBps     1919.2 MBps  |         
 139  |  24 x     32768  |  raw      |     3719.5 MBps     3900.2 MBps  |  +      
 140  |  24 x     32768  |  raw seq  |     4670.8 MBps     4897.7 MBps  |  +      
 141  |  24 x     32768  |  buf seq  |     1825.6 MBps     1914.3 MBps  |         
 142  |  32 x     32768  |  raw      |     2374.9 MBps     2490.2 MBps  |         
 143  |  32 x     32768  |  raw seq  |     3252.6 MBps     3410.6 MBps  |         
 144  |  32 x     32768  |  buf seq  |     1791.8 MBps     1878.8 MBps  |         
 145  |   1 x     65536  |  raw      |     3344.1 MBps     3506.5 MBps  |         
 146  |   1 x     65536  |  raw seq  |     3447.7 MBps     3615.2 MBps  |         
 147  |   1 x     65536  |  buf seq  |     1963.8 MBps     2059.2 MBps  |         
 148  |   2 x     65536  |  raw      |     3893.2 MBps     4082.3 MBps  |         
 149  |   2 x     65536  |  raw seq  |     4102.1 MBps     4301.4 MBps  |         
 150  |   2 x     65536  |  buf seq  |     1979.6 MBps     2075.8 MBps  |         
 151  |   4 x     65536  |  raw      |     3660.3 MBps     3838.1 MBps  |         
 152  |   4 x     65536  |  raw seq  |     6482.8 MBps     6797.8 MBps  |  +      
 153  |   4 x     65536  |  buf seq  |     1959.2 MBps     2054.3 MBps  |         
 154  |   8 x     65536  |  raw      |     8112.4 MBps     8506.4 MBps  |  +      
 155  |   8 x     65536  |  raw seq  |     7941.7 MBps     8327.5 MBps  |         
 156  |   8 x     65536  |  buf seq  |     1951.6 MBps     2046.4 MBps  |         
 157  |  12 x     65536  |  raw      |     8327.6 MBps     8732.2 MBps  |  +      
 158  |  12 x     65536  |  raw seq  |     9086.0 MBps     9527.4 MBps  |  +      
 159  |  12 x     65536  |  buf seq  |     1938.8 MBps     2033.0 MBps  |         
 160  |  16 x     65536  |  raw      |     7871.7 MBps     8254.1 MBps  |         
 161  |  16 x     65536  |  raw seq  |     9359.7 MBps     9814.4 MBps  |  +      
 162  |  16 x     65536  |  buf seq  |     1942.3 MBps     2036.6 MBps  |         
 163  |  24 x     65536  |  raw      |     8325.2 MBps     8729.6 MBps  |         
 164  |  24 x     65536  |  raw seq  |     9611.9 MBps    10078.8 MBps  |  +      
 165  |  24 x     65536  |  buf seq  |     1874.7 MBps     1965.8 MBps  |         
 166  |  32 x     65536  |  raw      |     7322.9 MBps     7678.6 MBps  |         
 167  |  32 x     65536  |  raw seq  |     9706.2 MBps    10177.7 MBps  |  +      
 168  |  32 x     65536  |  buf seq  |     1838.7 MBps     1928.0 MBps  |         
